Gene	Transcripts
ANGPTL2	NM_012098.3
GPR157	NM_024980.5
CDC42	NM_001791.4
GMEB1	NM_006582.4
FHL5	NM_020482.5
SUPT16H	NM_007192.4
RILP	NM_031430.3
KANSL1L	NM_152519.4
ARHGEF2	NM_004723.3
OR6C1	NM_001005182.1
TAS1R2	NM_152232.2
CFLAR	NM_003879.7
TMPRSS11E	NM_014058.4
SP4	NM_003112.5
DUS4L-BCAP29	NM_001371364.2
STPG3	NM_001004353.3
WDR5B	NM_019069.4
PPP1R1A	NM_006741.4
IRGC	NM_019612.4
CLEC9A	NM_207345.4
ACTL6A	NM_004301.5
C1QTNF2	NM_001366504.1
UBA2	NM_005499.3
SRA1	NM_001035235.3
ADAD2	NM_139174.4
OR51V1	NM_001004760.2
SPTY2D1	NM_194285.3
TAGLN2	NM_003564.3
DENND1C	NM_024898.4
UROS	NM_000375.3
MYH15	NM_014981.2
TAF13	NM_005645.4
ALDH1A1	NM_000689.5
ERICH6	NM_152394.5
PPP1R2C	NM_025210.2
SMR3B	NM_006685.4
EFCC1	NM_024768.2
MMP9	NM_004994.3
CTTN	NM_138565.2
SS18	NM_001007559.3
APMAP	NM_020531.3
BRD3	NM_007371.4
SLCO1C1	NM_017435.4
ACSL1	NM_001995.4
MID1IP1	NM_001098790.2
DNASE2B	NM_021233.2
TMEM208	NM_014187.4
BOLL	NM_033030.6
OPA1	NM_130837.2
CCR7	NM_001301714.2
RTKN	NM_001015055.2
DIRAS1	NM_145173.4
RPS6KL1	NM_001370252.1
CRB1	NM_201253.3
TP73	NM_005427.4
CHCHD1	NM_203298.3
GABRB1	NM_000812.4
CIDEB	NM_001318807.2
PGA5	NM_014224.4
PCNP	NM_020357.3
GBP4	NM_052941.5
EIF3A	NM_003750.4
RPP40	NM_006638.4
RYR2	NM_001035.3
UNC5D	NM_001322818.1
TXNDC15	NM_024715.3
TRIM64B	NM_001164397.2
TMEM200B	NM_001003682.4
GLG1	NM_012201.6
FBXL4	NM_001278716.2
RPH3A	NM_014954.4
SORBS3	NM_005775.5
CYP26B1	NM_019885.3
ZNF526	NM_133444.3
SF3A2	NM_007165.5
MTCH1	NM_014341.2
MSRA	NM_012331.5
NOC4L	NM_024078.3
TMPRSS2	NM_001135099.1
TNNI1	NM_003281.4
IFNA10	NM_002171.2
NACC2	NM_144653.5
PRSS16	NM_005865.4
KLF11	NM_003597.5
ROMO1	NM_080748.3
RNASEH2C	NM_032193.4
TMEM170A	NM_145254.3
NT5M	NM_020201.4
ZNF764	NM_033410.4
GGNBP2	NM_024835.5
RBM27	NM_018989.2
ANKRD23	NM_144994.8
OR8I2	NM_001003750.1
CCDC83	NM_173556.4
ECSIT	NM_016581.5
GDF3	NM_020634.3
TSPAN5	NM_005723.4
FBXL22	NM_203373.3
IFIT1	NM_001548.5
BTNL9	NM_152547.5
TMEM247	NM_001145051.2
EHBP1L1	NM_001099409.3
ASB4	NM_016116.3
CHMP5	NM_016410.6
TYRO3	NM_001330264.1
FER1L6	NM_001039112.2
C9orf50	NM_199350.3
CLRN1	NM_001195794.1
ATP6V1A	NM_001690.4
PMS1	NM_000534.4
EMX2	NM_004098.4
ELAC1	NM_018696.3
YIF1A	NM_020470.3
ZMYND15	NM_032265.2
ITM2C	NM_030926.6
ZNF10	NM_015394.5
ALPG	NM_031313.3
CGREF1	NM_006569.6
RC3H2	NM_018835.4
TRPV3	NM_145068.4
THAP5	NM_182529.3
BIVM	NM_001159596.2
NXF5	NM_032946.2
NLGN3	NM_018977.4
NAPSA	NM_004851.3
FAM234A	NM_032039.4
NR1H2	NM_001256647.2
HELLS	NM_018063.5
CDCA8	NM_018101.4
LYPD6B	NM_177964.5
REM2	NM_173527.3
TTC24	NM_001105669.3
C9orf40	NM_017998.3
H1-3	NM_005320.2
COG6	NM_001145079.2
SNRPD3	NM_004175.5
OR1D5	NM_014566.1
MOSPD2	NM_152581.4
TOX4	NM_014828.4
ZNF878	NM_001080404.3
AOC1	NM_001091.4
FBXO25	NM_012173.3
LMCD1	NM_014583.4
CCL27	NM_006664.4
PFKL	NM_001002021.3
CENPU	NM_024629.4
GPLD1	NM_001503.4
FBXO22	NM_147188.3
USH1C	NM_005709.4
HJV	NM_145277.5
CAB39L	NM_030925.4
OR13C2	NM_001004481.1
CCDC42	NM_144681.3
PET100	NM_001171155.2
CETN3	NM_004365.3
TLE3	NM_005078.4
ITGBL1	NM_004791.3
CLDN10	NM_006984.5
AKR7A2	NM_003689.3
HMGN1	NM_004965.7
RIMS1	NM_014989.5
UGGT2	NM_020121.4
SORD	NM_003104.6
PPP1R7	NM_002712.3
CCDC169	NM_001144981.3
MLST8	NM_022372.6
GNS	NM_002076.4
CT47A8	NM_001080139.1
CD55	NM_000574.5
MLXIP	NM_014938.6
MALSU1	NM_138446.2
NSMCE4A	NM_017615.3
C12orf65	NM_152269.5
PPIL4	NM_139126.4
SSTR4	NM_001052.2
MMP16	NM_005941.5
KLF2	NM_016270.4
FXYD6-FXYD2	NM_001204268.2
CYP4F12	NM_023944.4
FHL2	NM_001039492.3
H2AB3	NM_080720.1
RBMY1B	NM_001006121.4
USP20	NM_001008563.4
FAM217A	NM_173563.3
CCDC28A	NM_015439.2
LCE1C	NM_178351.4
IMPACT	NM_018439.4
PITPNB	NM_001284277.1
RNF121	NM_018320.5
NUDT1	NM_002452.3
NSUN6	NM_182543.5
RFC5	NM_007370.7
LDHAL6B	NM_033195.3
STAMBP	NM_006463.5
POMZP3	NM_012230.3
SLC4A11	NM_001174089.2
LSM3	NM_014463.3
CARF	NM_001104586.4
IRGM	NM_001145805.1
SLC52A1	NM_017986.4
CCL11	NM_002986.3
SERPINE3	NM_001101320.1
DDX10	NM_004398.4
GABRG1	NM_173536.4
TMCC1	NM_015008.5
ABCB4	NM_000443.4
H2AC21	NM_175065.2
BABAM1	NM_014173.4
PCP4	NM_006198.3
AFTPH	NM_017657.5
ZNF22	NM_006963.5
B3GNT3	NM_014256.4
ARHGAP10	NM_024605.4
CSKMT	NM_001043229.2
EIF2S3B	NM_001357731.1
GDPD5	NM_030792.8
CRNKL1	NM_001278625.1
COG5	NM_001161520.1
GPATCH3	NM_022078.3
MSMO1	NM_006745.5
RPS3A	NM_001006.5
MAN1C1	NM_020379.3
KAT14	NM_020536.4
ZSWIM9	NM_199341.4
KLHL7	NM_018846.5
ZDHHC14	NM_153746.2
FOXN2	NM_002158.4
ESRP1	NM_017697.4
CLCF1	NM_013246.3
BEX3	NM_014380.3
ZNF625	NM_145233.4
RHOU	NM_021205.6
MRTO4	NM_016183.4
TRAPPC9	NM_031466.7
TMEM230	NM_001009923.2
SDC4	NM_002999.4
SNTB2	NM_006750.3
CA13	NM_198584.3
DNPEP	NM_012100.4
ATG101	NM_021934.4
RAD51	NM_002875.5
LCE2B	NM_014357.5
ELFN2	NM_052906.5
KRT222	NM_152349.3
UMOD	NM_001008389.3
GMDS	NM_001253846.1
SPAG4	NM_003116.3
GPRC5A	NM_003979.4
MTSS1	NM_014751.5
CLCN4	NM_001256944.1
VEGFD	NM_004469.5
PNMA8A	NM_018215.4
PDSS2	NM_020381.4
IL17RE	NM_153480.2
CLEC4O	NM_001302493.2
CLEC2A	NM_207375.3
SYN2	NM_133625.6
SPDYE17	NM_001351351.1
ATF2	NM_001880.4
TPPP3	NM_015964.4
MAPK8IP3	NM_001040439.2
MGP	NM_000900.5
B3GAT3	NM_012200.4
CEP85	NM_022778.5
FOXD1	NM_004472.3
KRTAP2-3	NM_001165252.2
COL8A2	NM_005202.4
ZNF566	NM_032838.4
AIPL1	NM_014336.5
PLAUR	NM_002659.4
NHLH2	NM_005599.3
CMTM2	NM_001199317.2
TCF15	NM_004609.3
CDC34	NM_004359.2
FANK1	NM_145235.5
GLCCI1	NM_138426.4
GRWD1	NM_031485.4
FEM1A	NM_018708.3
GABRE	NM_004961.4
ATP9A	NM_006045.3
PJVK	NM_001042702.4
SULT1E1	NM_005420.3
NADSYN1	NM_018161.5
TBC1D13	NM_018201.5
LRRC38	NM_001010847.2
RPS28	NM_001031.5
SMIM28	NM_001368163.1
CALY	NM_015722.4
FAM187B	NM_152481.1
MED12	NM_005120.3
NT5C1B	NM_001002006.3
ACAT2	NM_005891.3
ADAMTS14	NM_080722.4
NYAP2	NM_020864.1
TEKT1	NM_053285.2
MS4A4A	NM_001243266.2
TBKBP1	NM_014726.2
KRTAP4-11	NM_033059.4
OR4C13	NM_001001955.2
SPI1	NM_003120.3
PEAR1	NM_001080471.1
HYAL4	NM_012269.3
ZIC4	NM_001168378.1
SPDYE4	NM_001128076.3
RASL10A	NM_006477.5
JPH1	NM_001317830.2
MYO5A	NM_000259.3
RPL26	NM_000987.5
DTX1	NM_004416.2
VPS45	NM_007259.5
DNAJC19	NM_145261.4
PTGES3L-AARSD1	NM_025267.3
MED6	NM_005466.3
TMEM117	NM_032256.3
ARMH3	NM_024541.3
SF3B2	NM_006842.3
EXOC1	NM_018261.3
MOS	NM_005372.1
ABHD10	NM_018394.4
AMY1A	NM_001008221.1
TBPL1	NM_001253676.1
ELN	NM_000501.4
UBE2Z	NM_023079.5
EPS15L1	NM_021235.2
IGFL2	NM_001002915.2
SEC24C	NM_004922.4
PHLDA1	NM_007350.3
EFHD2	NM_024329.6
PCDH11Y	NM_032973.2
PPP1R8	NM_014110.5
SPP1	NM_000582.2
EXOC1L	NM_001351574.1
MAGEB5	NM_001271752.1
IL1R1	NM_000877.4
SEPTIN5	NM_002688.6
PCDH8	NM_002590.4
C4BPA	NM_000715.4
NFU1	NM_015700.4
COL17A1	NM_000494.4
SEPT9	NM_006640.4
ESD	NM_001984.2
WNT6	NM_006522.4
HSPG2	NM_005529.7
FMN2	NM_020066.5
SLC25A1	NM_005984.5
ALDH1B1	NM_000692.5
GSK3A	NM_019884.3
MRPL13	NM_014078.6
ABHD3	NM_001308256.2
MAGOHB	NM_018048.5
GPRC5B	NM_001304771.1
RBPJ	NM_015874.4
SLC25A3	NM_005888.3
ACLY	NM_001096.3
NACA	NM_005594.6
NOD1	NM_001354849.1
BBX	NM_020235.7
ZFC3H1	NM_144982.5
PBLD	NM_022129.4
ENTPD7	NM_020354.5
CAD	NM_001306079.1
ZFYVE26	NM_015346.4
TERF1	NM_017489.3
PLAA	NM_001031689.3
EEF1G	NM_001404.5
TIAF1	NM_004740.3
DECR1	NM_001330575.1
TEX52	NM_001365174.2
GALP	NM_033106.4
RNMT	NM_003799.3
UQCRC2	NM_003366.4
CHRD	NM_003741.3
ZNF174	NM_003450.3
EPPK1	NM_031308.4
ELMOD2	NM_153702.4
PARD6A	NM_016948.3
SOX21	NM_007084.4
GHRL	NM_016362.5
UBTD2	NM_152277.3
ZNF420	NM_144689.5
DDX54	NM_024072.4
KRBA1	NM_032534.3
CFAP69	NM_001039706.3
RELA	NM_021975.4
CR2	NM_001877.5
SRPK2	NM_182691.2
DNAJB1	NM_006145.3
ACTR2	NM_001005386.2
IQCA1	NM_024726.5
SPATA5L1	NM_024063.3
AXIN1	NM_003502.4
HYAL1	NM_033159.4
SAMD10	NM_080621.5
CASP10	NM_032977.4
CHURC1	NM_145165.3
VPS9D1	NM_004913.3
TMEM65	NM_194291.2
CMTR2	NM_018348.6
EPS8L2	NM_022772.4
SOWAHA	NM_175873.6
RIN1	NM_004292.3
HSPBP1	NM_012267.5
PLLP	NM_015993.3
HNRNPL	NM_001005335.2
LTB4R	NM_001143919.3
PIAS1	NM_001320687.1
ZNF714	NM_182515.4
DDI2	NM_032341.5
ETFDH	NM_001281737.1
TRAPPC2L	NM_016209.5
DEFB104B	NM_001040702.1
CILP	NM_003613.4
ADAMTSL4	NM_019032.5
ASPRV1	NM_152792.2
EPB41L4B	NM_018424.3
ANKRD27	NM_032139.3
GON7	NM_032490.5
ZCCHC8	NM_017612.5
CHAD	NM_001267.3
OTOP3	NM_178233.2
SLC25A33	NM_032315.3
GABRA3	NM_000808.4
MAGED4B	NM_001242362.1
NCR1	NM_001145457.3
PANK4	NM_018216.4
TBX22	NM_016954.2
RPL13A	NM_001270491.1
CCAR2	NM_021174.6
POLE3	NM_017443.5
TTC33	NM_012382.3
SRD5A2	NM_000348.4
B4GALT4	NM_003778.4
FAM107A	NM_007177.4
CFHR4	NM_006684.5
NDUFS7	NM_024407.5
PTH	NM_000315.4
URAD	NM_001105577.2
LCE2C	NM_178429.3
ZDHHC11B	NM_001351303.1
LAMC3	NM_006059.4
EIF4E2	NM_004846.4
SAMD9	NM_017654.4
DYNC1LI1	NM_016141.4
PRR15L	NM_024320.4
RPRD1A	NM_018170.5
SAG	NM_000541.5
AFAP1L1	NM_152406.4
PCDHB3	NM_018937.4
ACAP2	NM_012287.6
NUDT13	NM_015901.6
MAGEB2	NM_002364.5
SNRPG	NM_001317165.1
RTCA	NM_001130841.1
UPK2	NM_006760.4
ZNF789	NM_213603.3
CEBPD	NM_005195.4
SDHA	NM_004168.4
CCL13	NM_005408.3
AFG1L	NM_145315.5
ADAMTS17	NM_139057.4
HDGFL1	NM_138574.4
ANGPTL7	NM_021146.4
SRL	NM_001098814.2
SLC26A11	NM_001166347.2
ATG4C	NM_032852.4
NKIRAS2	NM_017595.6
MDK	NM_001012334.2
AGTPBP1	NM_015239.2
UBTD1	NM_024954.5
KCNE2	NM_172201.1
STT3A	NM_152713.5
ZBTB8OS	NM_178547.4
MAPK3	NM_001040056.3
AGER	NM_001136.5
CEP76	NM_024899.4
IGF2	NM_000612.6
LONP2	NM_031490.5
UPK3A	NM_006953.4
PRR20C	NM_001130405.1
REXO1	NM_020695.4
IDS	NM_000202.8
RFLNB	NM_182705.2
IKZF3	NM_012481.5
NDUFV3	NM_001001503.2
BHLHB9	NM_030639.3
MGAT4B	NM_014275.5
LCE4A	NM_178356.3
PON3	NM_000940.3
RBM47	NM_019027.4
UGT2B7	NM_001074.4
ATP4A	NM_000704.3
TAGLN	NM_001001522.2
PRKCSH	NM_001001329.2
USP17L17	NM_001256857.1
TMEM95	NM_198154.3
CDC27	NM_001114091.4
GPT	NM_005309.3
PDE11A	NM_001077196.2
ARHGEF10L	NM_018125.4
EIF4H	NM_022170.2
TVP23C	NM_145301.2
MEX3B	NM_032246.6
TACR1	NM_001058.4
LCE1B	NM_178349.2
MFSD14B	NM_032558.3
PCDHGB2	NM_018923.2
TLR2	NM_001318787.2
ZNRF1	NM_032268.5
SMARCAD1	NM_020159.5
MOGAT2	NM_025098.4
KRI1	NM_023008.5
PHOSPHO2	NM_001008489.4
C19orf67	NM_001277378.2
RORA	NM_134261.3
HBG2	NM_000184.3
TLL2	NM_012465.4
PAN2	NM_014871.5
ZNF407	NM_017757.2
CFC1	NM_032545.3
PEX7	NM_000288.4
OSER1	NM_016470.8
ASIC1	NM_020039.4
IQCA1L	NM_001304419.2
SOAT2	NM_003578.4
KLHL1	NM_020866.3
ZNF77	NM_021217.3
ANKRD10	NM_001286721.2
DCP2	NM_152624.6
ATAD3B	NM_031921.6
SLC9C2	NM_178527.4
SLC24A2	NM_020344.3
ZBTB2	NM_020861.3
CCDC117	NM_173510.4
ENAM	NM_031889.3
TMEM178A	NM_152390.3
GARRE1	NM_014686.4
LPCAT2	NM_017839.5
RSPO3	NM_032784.5
C1orf232	NM_001364667.1
ADCY3	NM_001320613.2
BDKRB2	NM_000623.3
GALC	NM_000153.4
C8orf37	NM_177965.4
KIAA0408	NM_014702.5
ICOS	NM_012092.4
MRPL55	NM_181454.2
IL1RN	NM_173841.2
ADORA1	NM_000674.3
MED13	NM_005121.3
TEX10	NM_017746.4
PARVG	NM_022141.7
NOL8	NM_017948.6
FBN3	NM_032447.5
SMO	NM_005631.5
C2CD3	NM_015531.6
CHAF1B	NM_005441.3
IQCG	NM_032263.5
DUOX1	NM_017434.5
RPE65	NM_000329.3
FANCC	NM_000136.3
OR8J1	NM_001005205.2
VPS53	NM_018289.4
ERMARD	NM_018341.3
NR5A1	NM_004959.5
OSGEP	NM_017807.4
ACAD11	NM_032169.5
H4C5	NM_003545.3
KATNBL1	NM_024713.3
PAIP1	NM_006451.5
TRIM26	NM_003449.5
RASAL1	NM_004658.2
FBXL2	NM_012157.5
KRTAP1-5	NM_031957.2
BHLHE40	NM_003670.3
LCA5	NM_181714.4
VPS13C	NM_017684.5
HS3ST3A1	NM_006042.3
QSOX1	NM_002826.5
ZDHHC4	NM_018106.4
C8orf74	NM_001040032.2
EFNB1	NM_004429.4
RPS6KA1	NM_002953.4
SMU1	NM_018225.3
BACH2	NM_021813.4
ZNF510	NM_014930.2
RGS1	NM_002922.4
FAT4	NM_024582.4
MPO	NM_000250.2
PNPLA2	NM_020376.4
RTN3	NM_006054.4
RERGL	NM_024730.3
RNF227	NM_001358699.1
JMJD7-PLA2G4B	NM_001198588.1
ASTL	NM_001002036.3
FNDC5	NM_153756.3
ZNF182	NM_006962.2
MTX3	NM_001010891.5
CEP57L1	NM_173830.5
CHCHD5	NM_032309.4
THYN1	NM_014174.3
PTK6	NM_001256358.1
RESP18	NM_001007089.4
AURKAIP1	NM_017900.3
RDH10	NM_172037.5
PRPF18	NM_003675.4
DCAF1	NM_014703.3
EFHC1	NM_018100.4
PDE4D	NM_001104631.2
ROPN1	NM_017578.4
BIN1	NM_139343.3
USP17L2	NM_201402.2
OR4A16	NM_001005274.1
DPY19L4	NM_181787.3
STRIP2	NM_001134336.2
EIF2AK4	NM_001013703.4
TFF3	NM_003226.3
PLAAT1	NM_001366112.1
IL10RA	NM_001558.3
SRSF5	NM_001039465.2
HRH4	NM_001143828.2
SOS1	NM_005633.3
ELK1	NM_005229.4
ZNF740	NM_001004304.4
PARP12	NM_022750.4
WDR6	NM_001320546.2
CD244	NM_016382.4
MRGPRX3	NM_054031.3
HOXD13	NM_000523.4
MTF1	NM_005955.3
SPRR2G	NM_001014291.4
AATK	NM_004920.2
CLINT1	NM_014666.4
PSEN2	NM_000447.3
ARSJ	NM_024590.4
TMEM219	NM_001083613.2
NDUFB7	NM_004146.6
EEF1AKMT2	NM_212554.4
CCNT1	NM_001240.4
CEP85L	NM_001042475.3
CDK5R2	NM_003936.5
TRIM55	NM_184085.2
DNAJC4	NM_001307980.1
NEUROG1	NM_006161.3
TGFBRAP1	NM_004257.6
ANO1	NM_018043.6
FZD10	NM_007197.3
NXPH1	NM_152745.3
IKBKB	NM_001190720.2
KCTD4	NM_198404.3
CT55	NM_017863.2
LBHD2	NM_001330236.2
TUBA1B	NM_006082.3
KYNU	NM_001032998.2
PJA1	NM_145119.4
ARHGAP31	NM_020754.4
IFNL3	NM_172139.4
CLN5	NM_006493.4
FBXO3	NM_012175.4
SPATA6	NM_019073.4
GNRH2	NM_001501.2
RIT1	NM_006912.6
MYL12A	NM_006471.3
SIPA1L2	NM_020808.4
PODXL2	NM_015720.4
CPXCR1	NM_033048.6
ACTA1	NM_001100.4
DNAJB5	NM_001135004.2
BLOC1S1	NM_001487.3
CACNA1A	NM_000068.4
PCDH19	NM_020766.3
TCEAL2	NM_080390.4
URB1	NM_014825.3
SAFB2	NM_014649.3
PABPN1L	NM_001080487.2
SRP72	NM_001267722.2
CGN	NM_020770.3
OR1L3	NM_001005234.1
FICD	NM_007076.3
SPTBN5	NM_016642.4
CACNA1F	NM_005183.4
CTSK	NM_000396.4
COPS8	NM_006710.5
UBAP2L	NM_014847.4
C8orf76	NM_032847.3
CREB1	NM_134442.5
TMEM178B	NM_001195278.2
KCNJ10	NM_002241.5
OPRK1	NM_000912.5
HOXB4	NM_024015.5
GCNT1	NM_001097634.1
ARHGAP33	NM_052948.4
NISCH	NM_007184.4
SPEF2	NM_144722.4
PKHD1L1	NM_177531.6
MUC17	NM_001040105.2
SLC26A6	NM_022911.3
SP7	NM_001173467.3
CLPB	NM_030813.6
TMPRSS11A	NM_182606.4
WIPF2	NM_133264.5
SELENOW	NM_003009.4
TSKU	NM_015516.4
NUP98	NM_016320.5
ERCC3	NM_000122.2
HMGCL	NM_000191.3
SMYD5	NM_006062.3
USP46	NM_022832.4
TFCP2	NM_005653.5
DCTN3	NM_001281425.1
TCAF2	NM_173678.3
SERF1B	NM_022978.3
SPAG7	NM_004890.3
PHF20L1	NM_016018.5
CFAP45	NM_012337.3
POTED	NM_174981.3
SELE	NM_000450.2
TLCD3A	NM_024792.3
FAM110A	NM_031424.6
S100A11	NM_005620.2
MPV17L2	NM_032683.3
DEFA4	NM_001925.3
E2F8	NM_024680.4
BCL6B	NM_181844.4
PEX11G	NM_080662.4
CRBN	NM_016302.3
C12orf76	NM_207435.2
CCSER1	NM_001145065.1
MBIP	NM_016586.3
XRRA1	NM_182969.3
FGD5	NM_152536.4
NOVA2	NM_002516.4
SMARCA1	NM_003069.5
EVI2A	NM_014210.4
LYRM4	NM_020408.5
USP4	NM_199443.3
GCM2	NM_004752.4
FAHD2A	NM_016044.3
USP35	NM_020798.4
LDHAL6A	NM_144972.5
MYO1A	NM_005379.4
SMPD1	NM_000543.5
STAM2	NM_005843.6
DHX58	NM_024119.3
MSANTD3	NM_080655.2
MTREX	NM_015360.5
TRDMT1	NM_004412.7
DGKQ	NM_001347.4
IL12RB2	NM_001559.2
BDH1	NM_004051.5
NMI	NM_004688.3
FGG	NM_021870.3
NCAPD2	NM_014865.4
CBY2	NM_152719.3
FAF1	NM_007051.3
MTRNR2L4	NM_001190476.2
CIRBP	NM_001280.2
SNX12	NM_013346.4
ZNF146	NM_007145.2
TRIM40	NM_001286633.2
OR4K17	NM_001004715.2
APOLD1	NM_030817.3
ZNF496	NM_032752.3
RAB14	NM_016322.4
UCKL1	NM_017859.4
SLC23A1	NM_152685.3
CALHM6	NM_001010919.3
ATF7IP2	NM_024997.5
CBS	NM_000071.2
GLE1	NM_001003722.1
KRTAP9-2	NM_031961.3
SNURF	NM_005678.4
ZNF280C	NM_017666.5
PLAAT4	NM_004585.5
EFS	NM_001277174.1
TUT1	NM_022830.3
ASB17	NM_080868.3
CHST6	NM_021615.5
NOTCH3	NM_000435.3
EFTUD2	NM_004247.4
STIL	NM_003035.2
KYAT3	NM_001008661.3
ZNF384	NM_001039920.2
OTOP1	NM_177998.2
FOXQ1	NM_033260.4
SMAD9	NM_005905.6
CALHM5	NM_153711.5
NR1H3	NM_001130101.3
CZIB	NM_017887.3
EVX1	NM_001304519.2
SMCHD1	NM_015295.2
DZIP1L	NM_173543.3
DNAJC2	NM_001129887.2
ELF4	NM_001421.3
COMMD3	NM_012071.4
EVA1C	NM_058187.5
SGK3	NM_001033578.3
RBM48	NM_032120.4
NVL	NM_002533.4
TIAL1	NM_003252.3
AMMECR1L	NM_031445.2
BNIP2	NM_004330.4
PFDN4	NM_002623.4
UCP2	NM_003355.2
TBRG1	NM_032811.3
ESS2	NM_022719.3
LCA5L	NM_152505.3
EEF1AKMT3	NM_015433.3
DSEL	NM_032160.3
PPP3CA	NM_000944.5
MAP1A	NM_002373.6
TTC4	NM_004623.5
GSTM1	NM_000561.4
CARMIL1	NM_017640.6
RNF40	NM_014771.4
TMEM237	NM_152388.4
VSTM2B	NM_001146339.1
RAB32	NM_006834.5
LRIT3	NM_198506.5
INSL6	NM_007179.3
CORIN	NM_001278585.1
GML	NM_002066.3
CRYBG1	NM_001371242.2
PPHLN1	NM_201515.1
SKAP2	NM_001303468.1
KLRC4	NM_013431.2
COA7	NM_023077.3
FBLN2	NM_001004019.2
SPINDOC	NM_138471.3
RGL4	NM_153615.1
SETD2	NM_014159.6
CYSRT1	NM_199001.5
FAM162A	NM_014367.4
POR	NM_000941.3
WLS	NM_024911.7
SH2D3C	NM_005489.4
USP17L21	NM_001256862.1
DEFA3	NM_005217.4
TAAR9	NM_175057.3
HLA-DQB2	NM_001198858.2
SDSL	NM_138432.3
AGBL3	NM_178563.4
FASTK	NM_006712.5
WIPF1	NM_003387.5
FBH1	NM_032807.4
TMEM205	NM_198536.3
DENND4B	NM_014856.3
TMC5	NM_024780.5
C11orf21	NM_001142946.3
DNAJC8	NM_014280.3
MXRA5	NM_015419.4
KIAA1143	NM_020696.4
THEM4	NM_053055.5
VSTM2L	NM_080607.3
AMD1	NM_001287214.1
PCDHA2	NM_018905.3
TTC38	NM_017931.3
ZNF385D	NM_024697.3
GOLGA6L6	NM_001145004.2
FOXF2	NM_001452.2
POMK	NM_032237.5
PLCL1	NM_006226.4
SSR3	NM_007107.4
PRICKLE2	NM_198859.4
CHPT1	NM_020244.3
IQCD	NM_138451.3
MRPL43	NM_001308396.2
CRLF2	NM_022148.4
FADS6	NM_178128.6
C1orf74	NM_152485.4
PIGBOS1	NM_001308421.2
MPG	NM_001015052.3
ZZZ3	NM_015534.6
ZNF667	NM_022103.3
IL5	NM_000879.3
ANKRD6	NM_001242809.2
SYMPK	NM_004819.3
ADAM22	NM_021723.5
ASXL3	NM_030632.3
ARSB	NM_000046.5
LY6G6F-LY6G6D	NM_001353334.2
SRSF7	NM_001031684.3
LIN54	NM_194282.4
HBE1	NM_005330.4
GRK5	NM_005308.3
FAM47C	NM_001013736.2
EFNB2	NM_004093.4
FOXG1	NM_005249.5
CASK	NM_003688.3
CASP6	NM_001226.4
PARP9	NM_031458.3
BTK	NM_000061.2
MYOZ1	NM_021245.4
SLC7A14	NM_020949.3
FIGN	NM_018086.4
PYGO2	NM_138300.4
ZNF318	NM_014345.3
NAA60	NM_024845.4
KPNA7	NM_001145715.2
ACSS3	NM_024560.4
ZNF221	NM_001297588.1
H2AC11	NM_021064.4
NFE2	NM_006163.2
TP53I13	NM_138349.4
DNAJA3	NM_001135110.3
OPN3	NM_014322.3
SLC9A5	NM_001323971.2
OR6K6	NM_001005184.1
ZNF236	NM_001306089.1
KIAA0319	NM_014809.4
CELA1	NM_001971.6
SLCO5A1	NM_030958.3
DCLK3	NM_033403.1
GRM2	NM_000839.5
RPEL1	NM_001143909.1
ZC3H11A	NM_014827.5
AMACR	NM_014324.6
GABARAP	NM_007278.2
UBE2QL1	NM_001145161.3
RENBP	NM_002910.6
RPS4X	NM_001007.5
MGARP	NM_032623.4
MAP3K11	NM_002419.4
SLC20A2	NM_001257180.2
MRPS2	NM_001371401.1
DARS1	NM_001349.4
LRRC15	NM_001135057.3
ZDHHC20	NM_153251.3
MRPL58	NM_001545.3
SURF2	NM_017503.5
ATP8B3	NM_138813.4
P2RX2	NM_001282164.2
CCDC60	NM_178499.5
DYNC1H1	NM_001376.5
FUT8	NM_004480.4
PAX7	NM_002584.3
PRPS1	NM_001204402.1
IL11	NM_000641.4
ENTPD1	NM_001776.6
DLAT	NM_001931.5
MNAT1	NM_002431.4
PALM	NM_002579.3
NSF	NM_006178.4
PLB1	NM_001170585.1
H1-2	NM_005319.3
PSG1	NM_001184825.2
PLD3	NM_012268.4
SMIM27	NM_001349118.1
GAS2L2	NM_139285.4
SVIP	NM_148893.3
RBM18	NM_033117.4
DEPDC4	NM_152317.4
C13orf42	NM_001351589.1
CMTR1	NM_015050.3
SERPINF1	NM_002615.7
GNAO1	NM_020988.3
FAM181A	NM_138344.5
SIAE	NM_170601.5
GOLGA1	NM_002077.4
CAMKK2	NM_172226.2
RRM1	NM_001033.5
MRTFB	NM_014048.4
USP26	NM_031907.2
CGB8	NM_033183.2
ECH1	NM_001398.3
PHF5A	NM_032758.4
LY6L	NM_001368160.1
GOLGA8B	NM_001023567.5
HNRNPH1	NM_005520.3
STX19	NM_001001850.3
SDHD	NM_003002.4
NASP	NM_002482.4
SLC5A7	NM_001305005.3
UGT2B28	NM_053039.2
OR10G3	NM_001005465.1
TMEM39B	NM_018056.4
AVPR2	NM_000054.6
IL17RD	NM_017563.5
GNAT1	NM_000172.4
TMEM154	NM_152680.3
ZNF460	NM_006635.4
CDC5L	NM_001253.4
FANCI	NM_018193.3
TMEM107	NM_032354.5
FUT6	NM_000150.2
MROH8	NM_152503.7
GFRA4	NM_145762.2
LGALS3	NM_002306.4
